,OneLiner,VariableExtension,AbnormalSize,Obfuscation,Entropy,PositiveContext,ScriptLogging,FunctionBody,License,Downloader,StartsProcess,ScriptExecution,Crypto,Enumeration,HiddenWindow,CustomWebFields,Persistence,Registry,Sleeps,SysInternals,Compression,UninstallsApps,ByteUsage,NegativeContext,KnownMalware,CodeInjection,DNSC2,AppLockerBypass,AMSIBypass,EmbeddedFile,ClearLogs,DisabledProtections,ScreenScraping,Result
ben_1.ps1,0,0,0,0,1.48238,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_10.ps1,0,0,0,0,1.48632,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_100.ps1,0,0,0,0,1.51459,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_1000.ps1,0,0,0,0,1.51108,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_1001.ps1,0,0,0,0,1.44309,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_1002.ps1,0,0,0,0,1.47323,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_1003.ps1,0,0,0,0,1.52436,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_1004.ps1,0,0,0,0,1.52309,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_1005.ps1,0,0,0,0,1.52318,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_1006.ps1,0,0,0,0,1.55766,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_1007.ps1,0,0,0,0,1.42139,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_1008.ps1,0,0,0,0,1.54814,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_1009.ps1,0,0,0,0,1.57753,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_101.ps1,0,0,0,0,1.52733,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_1010.ps1,0,0,0,0,1.5115,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_1011.ps1,0,0,0,0,1.5359,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_1012.ps1,0,0,0,0,1.52726,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_1015.ps1,0,0,0,0,1.52005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_1016.ps1,0,0,0,0,1.42283,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_1017.ps1,0,0,0,0,1.4556,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_1018.ps1,0,0,0,0,1.41597,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_1019.ps1,0,0,0,0,1.35855,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_102.ps1,0,0,0,0,1.48748,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_1020.ps1,0,0,0,0,1.53882,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_1022.ps1,0,0,0,0,1.53208,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_1023.ps1,0,0,0,0,1.49447,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_1024.ps1,0,0,0,0,1.49983,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_1025.ps1,0,0,0,0,1.49028,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_1026.ps1,0,0,0,0,1.45332,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_1027.ps1,0,0,0,0,1.58787,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_1028.ps1,0,0,0,0,1.46238,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_1029.ps1,0,0,0,0,1.58582,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_103.ps1,0,0,0,0,1.44636,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ben_1030.ps1,0,0,0,0,1.5173,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
